name,path,size,file_or_dir
c174f3be671c92c4686b6e4b7ccee21600e952,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\0f,1886,file
620e4d72442b5fc19046c41ba9cfbfc052a217,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\10,720,file
c81335dc3c0494ca60665882c6ce12c4a75f72,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\11,2265,file
4dfa3b042b9be5ef9401e16a7949fcea723b4a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\13,846,file
7eae68ced3ae452eb34a2a048aa93ab72b4899,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\15,665,file
f00905f110ee4e07eaeac38b265b91f1aec043,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\17,1899,file
f6e899036d27e89983fc98c24408fa32ae47cd,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\17,192,file
475f3950d9db210c5b860570f24ce9d433320d,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1a,248,file
4fd51f84a7e41563333c53f722d78156143ce0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1a,2328,file
fac9fb08c9ec0d17243c1994db4290aced326c,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1a,347,file
21fb207e311ec14e615a6342e3defe7e394c2f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1b,178,file
c0475a10cbcac35d05764e984e900bace29478,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1b,806,file
d3aac8cc9c8e8d0eaffea8db801bf8c0f9ab67,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1c,717,file
433c5a988704e9675df4c322cc3c56073d21d3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1d,2288,file
2b81dae09827da9aa1775ec864d73d3be54830,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\1f,18,file
1e771c4ac2cdff94d2e2c815b5106d42759dd1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\20,84,file
dc43a429719b88e32f402fde2189d0583d7c9a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\20,373,file
7bdb1a1b8907cc7f3506642881407b571a3649,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\22,172,file
814140fe57daed0cfa05a69b636a3a1172cd0b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\22,178,file
836cd3f02f1d05ea53751af29b59a832786fdd,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\25,1386,file
a391bcb69da1c56fd3391f53fa14aa09facd34,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\25,530,file
70fb10a8cf010d03883a1b40b6a70e12869057,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\27,322,file
922ec69438fa8fcee5e6a70915b8ec33ad2da2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\27,272,file
857f607063f85285e08f53496fe811e7cae93b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\28,800,file
887eb06a3fcf15d0083189dbff8173e57a3cd1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\29,222,file
299adefdb6b2242f13431da6b1601b2f8d0396,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\2a,70,file
f0247b671629b32885154f7938de887f880fe8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\2a,85,file
70737e1f0abee3d330efe1c811747c88cfc508,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\2b,90,file
9f30a95966ccb0944dc13731cd8362b5096195,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\31,98,file
d2e577cd1631525e9757d77f956ff962fd5ea6,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\31,125,file
439da41a0b3b8c5ce6a283a66d67ac3e3c7f96,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\33,1507,file
a5ca8c9b5c263dbaad0726522cfaf70b8a1a95,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\33,648,file
b4ba71abb2ba6f2749fccfcd1bfe6f57a9d40a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\33,2141,file
febefac1f905fedac64d6e6c8ba5d79f84de87,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\33,1579,file
